"quizId","order","prompt","points","option1","option2","option3","option4","correctOption"
"a7c00000-0000-4000-8000-000000000001","1","إذا كان 2س + 6 = 14، فما قيمة س؟","1","3","4","5","6","2"
"a7c00000-0000-4000-8000-000000000001","2","ما قيمة 3² + 4²؟","1.5","7","14","25","49","3"
"a7c00000-0000-4000-8000-000000000001","3","ما ميل المستقيم ص = 3س − 2؟","2","−2","2","−3","3","4"
"a7c00000-0000-4000-8000-000000000001","4","ما مساحة مثلث قاعدته 10 سم وارتفاعه 6 سم؟","1","30 سم²","60 سم²","16 سم²","80 سم²","1"
"a7c00000-0000-4000-8000-000000000001","5","ما ناتج (س + 2)(س + 3)؟","1.5","س² + 6","س² + 5س + 6","س² + س + 6","2س + 5","2"
"a7c00000-0000-4000-8000-000000000001","6","ما الجذر التربيعي الموجب للعدد 81؟","2","7","8","9","18","3"
"a7c00000-0000-4000-8000-000000000001","7","ما قيمة 15% من 200؟","1","15","20","25","30","4"
"a7c00000-0000-4000-8000-000000000001","8","ما حل المتباينة س + 4 > 9؟","1.5","س > 5","س < 5","س > 13","س < 13","1"
"a7c00000-0000-4000-8000-000000000001","9","ما المتوسط الحسابي للأعداد 4، 6، 8، 10؟","2","6","7","8","9","2"
"a7c00000-0000-4000-8000-000000000001","10","ما احتمال ظهور عدد زوجي عند رمي حجر نرد منتظم؟","1","1/6","1/3","1/2","2/3","3"
"a7c00000-0000-4000-8000-000000000001","11","ما محيط مستطيل طوله 8 سم وعرضه 5 سم؟","1.5","13 سم","40 سم","20 سم","26 سم","4"
"a7c00000-0000-4000-8000-000000000001","12","ما ناتج 2/3 + 1/6؟","2","5/6","3/9","1/2","1","1"
"a7c00000-0000-4000-8000-000000000001","13","ما قيمة س في المعادلة 5س = 35؟","1","5","7","30","40","2"
"a7c00000-0000-4000-8000-000000000001","14","في مثلث قائم، طولا الضلعين القائمين 6 سم و8 سم. ما طول الوتر؟","1.5","12 سم","14 سم","10 سم","48 سم","3"
"a7c00000-0000-4000-8000-000000000001","15","ما نقطة تقاطع المستقيم ص = 2س + 5 مع محور الصادات؟","2","(5، 0)","(2، 0)","(0، 2)","(0، 5)","4"
"a7c00000-0000-4000-8000-000000000002","1","Choose the correct verb: ""She ___ to school every day.""","1","go","goes","going","gone","2"
"a7c00000-0000-4000-8000-000000000002","2","Choose the past tense of ""write"".","1.5","writed","written","wrote","writing","3"
"a7c00000-0000-4000-8000-000000000002","3","Choose the correct article: ""I saw ___ elephant.""","2","a","the only","no","an","4"
"a7c00000-0000-4000-8000-000000000002","4","Complete: ""They have lived here ___ 2020.""","1","since","for","during","by","1"
"a7c00000-0000-4000-8000-000000000002","5","Choose the comparative form of ""good"".","1.5","gooder","better","best","more good","2"
"a7c00000-0000-4000-8000-000000000002","6","Complete: ""If it rains, we ___ at home.""","2","stayed","staying","will stay","had stayed","3"
"a7c00000-0000-4000-8000-000000000002","7","Which word is an adverb?","1","happy","happiness","happier","happily","4"
"a7c00000-0000-4000-8000-000000000002","8","Complete: ""There isn't ___ milk in the fridge.""","1.5","any","many","a few","an","1"
"a7c00000-0000-4000-8000-000000000002","9","Choose the correct sentence.","2","He don't like tea.","He doesn't like tea.","He doesn't likes tea.","He not like tea.","2"
"a7c00000-0000-4000-8000-000000000002","10","Complete: ""This book is ___.""","1","me","my","mine","myself","3"
"a7c00000-0000-4000-8000-000000000002","11","Which is the plural of ""child""?","1.5","childs","childes","childrens","children","4"
"a7c00000-0000-4000-8000-000000000002","12","Complete: ""The homework ___ by the teacher yesterday.""","2","was checked","is checking","checks","has checking","1"
"a7c00000-0000-4000-8000-000000000002","13","Choose the correct question.","1","Where you live?","Where do you live?","Where does you live?","Where you do live?","2"
"a7c00000-0000-4000-8000-000000000002","14","Complete: ""You ___ wear a seat belt; it is required.""","1.5","might","could","must","would","3"
"a7c00000-0000-4000-8000-000000000002","15","Complete: ""I was reading when the phone ___.""","2","ring","rings","ringing","rang","4"
"a7c00000-0000-4000-8000-000000000003","1","ما وحدة قياس القوة في النظام الدولي؟","1","الجول","النيوتن","الواط","الفولت","2"
"a7c00000-0000-4000-8000-000000000003","2","قطع جسم 100 متر خلال 20 ثانية بسرعة ثابتة. ما سرعته؟","1.5","2 م/ث","20 م/ث","5 م/ث","80 م/ث","3"
"a7c00000-0000-4000-8000-000000000003","3","ما وحدة قياس الطاقة؟","2","الأمبير","الكيلوغرام","النيوتن","الجول","4"
"a7c00000-0000-4000-8000-000000000003","4","جسم كتلته 2 كغ وتسارعه 3 م/ث². ما القوة المحصلة عليه؟","1","6 نيوتن","5 نيوتن","1.5 نيوتن","9 نيوتن","1"
"a7c00000-0000-4000-8000-000000000003","5","ما قيمة تسارع جسم يتحرك بسرعة متجهة ثابتة؟","1.5","1 م/ث²","صفر","9.8 م/ث²","يتزايد دائمًا","2"
"a7c00000-0000-4000-8000-000000000003","6","ما الجهاز المستخدم لقياس شدة التيار الكهربائي؟","2","الفولتميتر","البارومتر","الأميتر","الترمومتر","3"
"a7c00000-0000-4000-8000-000000000003","7","مقاومة مقدارها 4 أوم يمر فيها تيار 2 أمبير. ما فرق الجهد؟","1","2 فولت","4 فولت","6 فولت","8 فولت","4"
"a7c00000-0000-4000-8000-000000000003","8","أي المواد التالية موصل جيد للكهرباء؟","1.5","النحاس","الخشب الجاف","الزجاج","البلاستيك","1"
"a7c00000-0000-4000-8000-000000000003","9","ما نوع الطاقة المخزنة في نابض مضغوط؟","2","طاقة حركية","طاقة وضع مرونية","طاقة نووية","طاقة صوتية","2"
"a7c00000-0000-4000-8000-000000000003","10","ما وحدة قياس القدرة؟","1","الجول","الأوم","الواط","الكولوم","3"
"a7c00000-0000-4000-8000-000000000003","11","عند مضاعفة سرعة جسم ثابت الكتلة، كيف تتغير طاقته الحركية؟","1.5","تبقى ثابتة","تصبح نصف قيمتها","تتضاعف مرتين","تصبح أربعة أمثالها","4"
"a7c00000-0000-4000-8000-000000000003","12","كيف ينتقل الضوء من الشمس عبر الفراغ؟","2","بالإشعاع","بالتوصيل","بالحمل","بالانتشار المادي","1"
